ID,LABEL
BERVO:0000125,Equilibrium constant for FePO4(s)+2H2O=Fe(OH)(2+)+H2PO4(-)+OH(-)
BERVO:0000126,Equilibrium constant for FePO4(s)+H2O+H(+)=Fe(OH)(2+)+H2PO4(-)
BERVO:0000127,Equilibrium constant for FePO4(s)+2H2O=Fe(OH)2(+)+H2PO4(-)
BERVO:0000128,Equilibrium constant for FePO4(s)+2H2O+OH(-)=Fe(OH)3(aq)+H2PO4(-)
BERVO:0000129,Equilibrium constant for FePO4(s)+3H2O=Fe(OH)3(aq)+H2PO4(-)+H(+)
BERVO:0000130,Equilibrium constant for FePO4(s)+2H2O+2OH(-)=Fe(OH)4(-)+H2PO4(-)
BERVO:0000131,Equilibrium constant for FePO4(s)+4H2O=Fe(OH)4(-)+H2PO4(-)+2H(+)
BERVO:0000132,Equilibrium constant for CaHPO4(s)+H(+)=Ca(2+)+H2PO4(-)
BERVO:0000133,Equilibrium constant for CaHPO4(s)+H2O=Ca(2+)+H2PO4(-)+OH(-)
BERVO:0000134,Equilibrium constant for Ca5(PO4)3OH(s)+4H(+)=3HPO4(2-)+5Ca(2+)+H2O
BERVO:0000135,Equilibrium constant for Ca5(PO4)3OH(s)+3H2O=5Ca(2+)+3HPO4(2-)+4OH(-)
BERVO:0000136,Equilibrium constant for Ca5(PO4)3OH(s)+7H(+)+3OH(-)=3HPO4(2-)+5Ca(2+)+4H2O
BERVO:0000137,Equilibrium constant for Ca5(PO4)3OH(s)+3H2O=3HPO4(2-)+5Ca(2+)+4OH(-)
BERVO:0000138,Km for urea hydrolysis
BERVO:0000139,Ki for urea hydrolysis
BERVO:0000140,Activity for solids
BERVO:0000141,Cation exchange capacity of soil organic carbon
BERVO:0000142,Maximum calcium concentration
BERVO:0000143,Specific rate constants for ammonium release after fertilizer application
BERVO:0000144,Specific rate constants for NH3 release after fertilizer application
BERVO:0000145,Specific rate constants for Urea release after fertilizer application
BERVO:0000146,Specific rate constants for NO3 release after fertilizer application
BERVO:0000147,Specific rate constants for H2PO4 release after fertilizer application
BERVO:0000148,Allocation parameter
BERVO:0000149,Minimum fraction of growth allocated to leaf
BERVO:0000150,Minimum fraction of growth allocated to petiole
BERVO:0000151,Rate constant for nonstructural carbon oxidation in respiration
BERVO:0000152,Rate constant for LitrFall at end of growing season
BERVO:0000153,Number of hours with no grain filling required for physilogical maturity
BERVO:0000154,Number of hours until full senescence after physl maturity
BERVO:0000155,"Maximum storage carbon content for remobiln from stalk, root reserves"
BERVO:0000156,"Rate const for remobiln to storage from stalk,root reserves"
BERVO:0000157,Min ratio of branch or mycorrhizae to root for calculating carbon transfer
BERVO:0000158,"Rate constant for remobilization of stalk C,N,P"
BERVO:0000159,"Rate constant for root-mycorrhizal C,N,P exchange"
BERVO:0000160,Nonstructural nitrogen inhibition constant on growth
BERVO:0000161,Nonstructural phosphorus inhibition constant on growth
BERVO:0000162,Specific maintenance respiration rate
BERVO:0000163,"Minimum water potential for organ expansion,extension"
BERVO:0000164,Minimum stomatal resistance to carbon dioxide
BERVO:0000165,Distance behind growing point for secondary roots
BERVO:0000166,Minimum average secondary root length
BERVO:0000167,Root modulus of elasticity
BERVO:0000168,Quantum efficiency
BERVO:0000169,Shape parameter for e- transport response to PAR
BERVO:0000170,Electron requirement for carbon dioxide fixn by rubisco
BERVO:0000171,Electron requirement for carbon dioxide fixn by PEP carboxylase
BERVO:0000172,Ki for C3 leakage from bundle sheath to mesophyll in C4
BERVO:0000173,Partition decarboxylation to carbon dioxide in C4
BERVO:0000174,Partition leakage to HCO3 in C4
BERVO:0000175,C4 carbon dioxide compensation point
BERVO:0000176,Leaf water content
BERVO:0000177,"Leaf water content in bundle sheath, in C4 carbon dioxide fixation"
BERVO:0000178,Leaf water content in mesophyll in C4 carbon dioxide fixation
BERVO:0000179,"Min N:C,P:C in leaves relative to max values from PFT file"
BERVO:0000180,"Min N:C,P:C in grain relative to max values from PFT file"
BERVO:0000181,"Fraction of stalk area contributing to water,heat flow"
BERVO:0000182,Maximum stalk inner radius for tranpsiration
BERVO:0000183,Stalk density
BERVO:0000184,Specific volume
BERVO:0000185,"Fraction used to calculate woody fraction of stalk,root"
BERVO:0000186,Km for nonstructural carbon concentration on seed set
BERVO:0000187,Km for nonstructural nitrogen concentration on seed set
BERVO:0000188,Km for nonstructural phosphorus concentration on seed set
BERVO:0000189,Parameter for calculating leaf area expansion
BERVO:0000190,Parameter for calculating petiole extension
BERVO:0000191,Parameter for calculating stalk extension
BERVO:0000192,Maximum C:N ratio for nonstructural nitrogen transfer
BERVO:0000193,Maximum C:P ratio for nonstructural phosphorus transfer
BERVO:0000194,Minimum C:N ratio for nonstructural nitrogen transfer
BERVO:0000195,Minimum C:P ratio for nonstructural phosphorus transfer
BERVO:0000196,Nitrogen fixation yield from carbon oxidation
BERVO:0000197,Specific respiration rate by bacterial nitrogen fixers
BERVO:0000198,Half saturation parameter for nodule maintenance respiration
BERVO:0000199,Specific decomposition rate by bacterial N2 fixers
BERVO:0000200,"Parameter to calculate nonstructural C,N,P exchange"
BERVO:0000202,Initial bacterial mass at infection
BERVO:0000203,Km for nonstructural nitrogen uptake by bacteria
BERVO:0000204,Km for nonstructural phosphorus uptake by bacteria
BERVO:0000205,Minimum fractions for root carbon recycling
BERVO:0000206,Maximum fractions for root carbon recycling
BERVO:0000207,Maximum fractions for root nitrogen recycling
BERVO:0000208,Maximum fractions for root phosphorus recycling
BERVO:0000209,Minimum fractions for bacteria carbon recycling
BERVO:0000210,Maximum fractions for bacteria carbon recycling
BERVO:0000211,Maximum fractions for bacteria nitrogen recycling
BERVO:0000212,Maximum fractions for bacteria phosphorus recycling
BERVO:0000213,Required hours after physl maturity until start of LitrFall
BERVO:0000214,Rate constant for remobiln of storage chemical element during leafout
BERVO:0000215,Rate constant for leaf-reserve nonstructural carbon exchange
BERVO:0000216,"Rate constant for leaf-reserve nonstructural N,P exchange"
BERVO:0000217,Rate constant for leaf-storage nonstructural chemical element exchange
BERVO:0000218,Rate constant for root-storage nonstructural chemical element exchange
BERVO:0000219,Root partitioning of storage carbon during leafout
BERVO:0000220,Shoot partitioning of storage carbon during leafout
BERVO:0000221,"Rate constant for plant-bacteria nonstructural C,N,P exchange"
BERVO:0000222,Maximum fractions for shoot nitrogen recycling
BERVO:0000223,Maximum fractions for shoot phosphorus recycling
BERVO:0000224,Minimum fractions for shoot carbon recycling
BERVO:0000225,Maximum fractions for shoot carbon recycling
BERVO:0000226,Number of hours after physiol maturity required for senescence
BERVO:0000227,Number of hours required to initiate remobilization of storage carbon for leafout
BERVO:0000228,Specific oxidation rate of nonstructural carbon during leafout at 25 C
BERVO:0000229,"Relative primary root sink strength 0.25=shallow,4.0=deep root profile"
BERVO:0000230,Transient weather change
BERVO:0000231,Land management
BERVO:0000233,Fertilizer release type from fertilizer input file
BERVO:0000234,Soil disturbance type
BERVO:0000235,Köppen climate zone
BERVO:0000247,Water table flag from site file
BERVO:0000248,Gaseous argon diffusivity
BERVO:0000249,Aqueous argon diffusivity
BERVO:0000250,Gaseous carbon dioxide diffusivity
BERVO:0000251,Aqueous carbon dioxide diffusivity
BERVO:0000252,Gaseous methane diffusivity
BERVO:0000253,Aqueous methane diffusivity
BERVO:0000254,Gaseous oxygen diffusivity
BERVO:0000255,Aqueous oxygen diffusivity
BERVO:0000256,Gaseous nitrogen diffusivity
BERVO:0000257,Aqueous nitrogen diffusivity
BERVO:0000258,Gaseous nitrous oxide diffusivity
BERVO:0000259,Aqueous nitrous oxide diffusivity
BERVO:0000260,Gaseous ammonia diffusivity
BERVO:0000261,Aqueous ammonia diffusivity
BERVO:0000262,Aqueous nitrate diffusivity
BERVO:0000263,Aqueous phosphate diffusivity
BERVO:0000264,Aqueous dissolved organic carbon diffusivity
BERVO:0000265,Aqueous dissolved organic nitrogen diffusivity
BERVO:0000266,Aqueous dissolved organic phosphate diffusivity
BERVO:0000267,Aqueous acetate diffusivity
BERVO:0000268,Water vapor diffusivity
BERVO:0000269,Aqueous aluminum diffusivity
BERVO:0000270,Aqueous iron diffusivity
BERVO:0000271,Aqueous hydrogen diffusivity
BERVO:0000272,Aqueous calcium diffusivity
BERVO:0000273,Aqueous magnesium diffusivity
BERVO:0000274,Aqueous sodium diffusivity
BERVO:0000275,Aqueous potassium diffusivity
BERVO:0000276,Aqueous hydroxide diffusivity
BERVO:0000277,Aqueous carbonate diffusivity
BERVO:0000278,Aqueous bicarbonate diffusivity
BERVO:0000279,Aqueous sulfate diffusivity
BERVO:0000280,Aqueous chloride diffusivity
BERVO:0000281,Gaseous hydrogen diffusivity
BERVO:0000282,Aqueous hydrogen diffusivity
BERVO:0000283,Argon solubility coefficient at standard ambient temperature
BERVO:0000284,Carbon dioxide solubility coefficient at standard ambient temperature
BERVO:0000285,Methane solubility coefficient at standard ambient temperature
BERVO:0000286,Oxygen solubility coefficient at standard ambient temperature
BERVO:0000287,Nitrogen solubility coefficient at standard ambient temperature
BERVO:0000288,Nitrous oxide solubility coefficient at standard ambient temperature
BERVO:0000289,Ammonia solubility coefficient at standard ambient temperature
BERVO:0000290,Hydrogen solubility coefficient at standard ambient temperature
BERVO:0000291,Water viscosity
BERVO:0000292,Total soil hydrogen gas
BERVO:0000293,Total soil gas emission
BERVO:0000294,"Total plant element (C,N,P, etc) balance"
BERVO:0000295,Cumulative hydrogen gas loss through lateral and lower boundaries
BERVO:0000296,Total soil ion content
BERVO:0000297,Total surface ion flux
BERVO:0000298,Total subsurface ion flux
BERVO:0000299,Total soil sediment
BERVO:0000300,Total sediment subsurface flux
BERVO:0000301,Total soil water content
BERVO:0000302,Total soil heat content
BERVO:0000303,Total soil oxygen content
BERVO:0000304,Total soil litter organic matter content
BERVO:0000305,Total soil particulate organic matter + humus carbon content
BERVO:0000306,Total soil ammonium content
BERVO:0000307,Total soil nitrate content
BERVO:0000308,Total soil phosphate content
BERVO:0000309,Total precipitation
BERVO:0000310,Total surface heat flux
BERVO:0000311,Total organic carbon amendment
BERVO:0000312,Total organic nitrogen amendment
BERVO:0000313,Total organic phosphorus amendment
BERVO:0000314,Total subsurface water flux
BERVO:0000315,Total evaporation
BERVO:0000316,Total surface runoff
BERVO:0000317,Total subsurface heat flux
BERVO:0000318,Total subsurface oxygen flux
BERVO:0000319,Total subsurface carbon flux
BERVO:0000320,Total surface nitrogen flux
BERVO:0000321,Total surface phosphous flux
BERVO:0000323,Total soil carbon dioxide
BERVO:0000324,Total soil nitrogen
BERVO:0000325,Canopy autotrophic respiration
BERVO:0000326,Net ecosystem carbon dioxide exchange
BERVO:0000327,Canopy ammonia flux
BERVO:0000328,Pft nodule infection
BERVO:0000329,Pft cumulative nodule infection
BERVO:0000330,Total canopy ammonia flux
BERVO:0000331,Total surface litterfall element
BERVO:0000332,Root uptake (+ve) - exudation (-ve) of dissolved organic carbon
BERVO:0000333,Root uptake of ammonium non-band
BERVO:0000334,Root nitrogen fixation
BERVO:0000335,Vertical profile of root nitrogen fixation
BERVO:0000337,Aqueous gas flux from roots to soil water
BERVO:0000338,Root uptake of dihydrogen phosphate non-band
BERVO:0000339,Root uptake of dihydrogen phosphate band
BERVO:0000340,Hydrogen phosphate demand in non-band by each root population
BERVO:0000341,Hydrogen phosphate demand in band by each root population
BERVO:0000342,Element translocated from leaf during senescence
BERVO:0000343,Element translocated from sheath during senescence
BERVO:0000344,Total gross carbon dioxide fixation
BERVO:0000345,Cumulative total gross carbon dioxide fixation
